UserID,Age,Income,Occupation,Education,Location,BrandPreference,CurrentPhone,PurchaseIntent,PurchaseTimeframe,FeaturesImportant,OnlineActivity,PreviousPurchases,PromotionResponse,Target
21,38,36102,Engineer,PhD,Pune,Samsung,Samsung S10,No,,Camera;Design,Low,1,Yes,0
22,59,75017,Engineer,Bachelor,Jaipur,OnePlus,OnePlus 8,Yes,2 months,Performance,Medium,3,No,1
23,37,32368,Lawyer,Master,Bengaluru,Xiaomi,Xiaomi Mi 10,Yes,6 months,Design;Performance,High,1,No,1
24,59,83006,Doctor,PhD,Chennai,Samsung,Samsung S9,Yes,,Price,Medium,2,No,0
25,30,47019,Teacher,Master,Bengaluru,Samsung,Samsung S20,No,,Price;Performance,Low,0,No,0
26,18,96617,Teacher,Bachelor,Pune,Samsung,Samsung S9,Yes,,Performance,Low,1,Yes,0
27,46,91389,Student,Bachelor,Mumbai,Xiaomi,Xiaomi Redmi 9,No,,Design;Price,Medium,4,Yes,0
28,27,109605,Designer,Master,Hyderabad,Apple,iPhone 11,No,,Battery;Price,Low,1,Yes,0
29,49,90890,Student,Master,Bengaluru,Xiaomi,Xiaomi Redmi 9,No,,Battery,High,1,Yes,0
30,46,116027,Sales,Master,Pune,Realme,Realme 7,No,,Price,Medium,1,Yes,0
31,24,33267,Teacher,Bachelor,Pune,Realme,Realme 7,No,,Battery;Price,Medium,4,No,0
32,52,113042,Lawyer,Master,Mumbai,Realme,Realme 8,No,,Performance,High,3,No,0
33,39,96234,Manager,Bachelor,Hyderabad,Xiaomi,Xiaomi Redmi 9,No,,Performance;Design,High,2,Yes,0
34,33,116900,Designer,PhD,Jaipur,Xiaomi,Xiaomi Redmi 9,Yes,,Battery;Performance,Medium,1,Yes,0
35,28,36801,Sales,Bachelor,Lucknow,Apple,iPhone XR,Yes,1 month,Price,High,4,No,1
36,25,43807,Designer,Bachelor,Kolkata,Xiaomi,Xiaomi Redmi 9,No,,Camera,Low,4,Yes,0
37,56,55289,Teacher,PhD,Delhi,OnePlus,OnePlus 7,Yes,6 months,Battery;Price,Medium,0,No,1
38,42,63591,Engineer,Master,Chennai,Apple,iPhone XR,No,,Price,High,4,Yes,0
39,36,43843,Engineer,Master,Jaipur,Samsung,Samsung S10,Yes,,Battery;Camera,High,1,No,0
40,29,53959,Student,Bachelor,Ahmedabad,Apple,iPhone 11,Yes,2 months,Price;Battery,High,0,Yes,1
41,30,65547,Lawyer,Bachelor,Bengaluru,Realme,Realme 8,No,,Performance;Battery,Low,1,No,0
42,22,31015,Engineer,Master,Mumbai,Apple,iPhone 12,Yes,6 months,Performance,Medium,0,Yes,1
43,18,30404,Lawyer,PhD,Kolkata,Xiaomi,Xiaomi Redmi 9,No,,Battery,High,1,No,0
44,34,86397,Engineer,Master,Mumbai,OnePlus,OnePlus 7,No,,Performance;Price,Low,1,Yes,0
45,20,62049,Student,Bachelor,Kolkata,Xiaomi,Xiaomi Redmi 9,Yes,,Performance,High,3,No,1
46,35,36941,Sales,PhD,Bengaluru,Apple,iPhone XR,No,,Camera;Design,High,4,No,0
47,27,85479,Engineer,Master,Mumbai,Xiaomi,Xiaomi Mi 10,No,,Price;Performance,Medium,2,Yes,0
48,40,110719,Sales,PhD,Kolkata,Xiaomi,Xiaomi Mi 10,No,,Battery,Medium,1,No,0
49,36,87108,Designer,Master,Lucknow,Realme,Realme 8,Yes,1 month,Camera,Low,1,No,1
50,39,40478,Lawyer,Master,Mumbai,Apple,iPhone XR,Yes,6 months,Camera;Design,Medium,4,Yes,1
51,24,35122,Sales,PhD,Pune,Apple,iPhone 11,No,,Performance,Low,0,No,0
52,39,86793,Doctor,Bachelor,Mumbai,Realme,Realme 8,No,,Design;Battery,Low,1,No,0
53,57,111264,Student,PhD,Lucknow,Samsung,Samsung S9,Yes,,Battery;Camera,Medium,0,Yes,1
54,23,31605,Sales,Master,Ahmedabad,Samsung,Samsung S20,Yes,1 month,Camera,Medium,3,No,1
55,47,114471,Doctor,PhD,Jaipur,Apple,iPhone 12,No,,Design;Battery,High,3,Yes,0
56,50,75587,Engineer,PhD,Mumbai,Apple,iPhone 11,Yes,6 months,Battery,Low,1,Yes,1
57,27,32219,Teacher,Bachelor,Ahmedabad,Apple,iPhone XR,Yes,1 month,Performance,High,0,No,0
58,31,97444,Lawyer,PhD,Jaipur,Apple,iPhone 12,Yes,,Price;Battery,High,4,Yes,1
59,38,45524,Designer,PhD,Lucknow,Xiaomi,Xiaomi Redmi 9,No,,Camera,Medium,2,No,0
60,50,117062,Sales,PhD,Mumbai,Samsung,Samsung S9,No,,Price,Low,2,Yes,0
61,20,113122,Lawyer,Master,Hyderabad,Realme,Realme 7,No,,Design,High,4,Yes,0
62,50,97779,Doctor,Master,Lucknow,Realme,Realme 7,No,,Camera;Battery,Medium,3,Yes,0
63,46,50103,Designer,Bachelor,Hyderabad,Xiaomi,Xiaomi Redmi 9,No,,Performance,Medium,3,Yes,0
64,27,106325,Doctor,PhD,Lucknow,OnePlus,OnePlus 8,No,,Design;Price,High,2,No,0
65,53,110879,Student,Bachelor,Ahmedabad,Realme,Realme 8,No,,Design,Medium,4,Yes,0
66,58,33797,Manager,PhD,Mumbai,Realme,Realme 7,Yes,2 months,Performance,Medium,4,Yes,0
67,27,69224,Designer,Master,Jaipur,OnePlus,OnePlus 9,No,,Design;Camera,Medium,1,No,0
68,41,97526,Student,Master,Chennai,Samsung,Samsung S9,No,,Price,Medium,0,No,0
69,37,82853,Doctor,PhD,Ahmedabad,Samsung,Samsung S20,No,,Camera,Low,4,No,0
70,46,102847,Lawyer,PhD,Pune,Samsung,Samsung S10,No,,Price;Performance,Medium,2,Yes,0
71,18,82487,Designer,PhD,Delhi,OnePlus,OnePlus 8,Yes,,Design;Battery,High,4,Yes,1
72,20,60678,Manager,PhD,Ahmedabad,Samsung,Samsung S20,No,,Design,Low,2,No,0
73,54,116925,Sales,PhD,Pune,Apple,iPhone 12,No,,Battery,Medium,3,No,0
74,18,53236,Student,PhD,Lucknow,Apple,iPhone 12,No,,Price;Battery,High,0,Yes,0
75,52,47771,Lawyer,Bachelor,Lucknow,OnePlus,OnePlus 8,No,,Performance;Design,Low,1,No,0
76,56,53752,Doctor,Master,Hyderabad,Apple,iPhone 11,No,,Camera;Performance,Medium,1,No,0
77,55,56657,Engineer,Bachelor,Jaipur,Apple,iPhone 12,Yes,1 month,Performance,Medium,3,No,1
78,27,89052,Engineer,Master,Chennai,Xiaomi,Xiaomi Mi 10,No,,Price;Camera,Low,4,No,0
79,43,83276,Designer,PhD,Ahmedabad,OnePlus,OnePlus 7,No,,Design;Camera,Medium,4,Yes,0
80,53,104478,Student,PhD,Bengaluru,Xiaomi,Xiaomi Redmi 9,No,,Performance,High,4,Yes,0
81,57,67904,Engineer,Bachelor,Ahmedabad,Apple,iPhone XR,Yes,,Camera,Low,3,Yes,1
82,34,79481,Engineer,PhD,Mumbai,Xiaomi,Xiaomi Mi 10,No,,Battery,Medium,0,No,0
83,29,107454,Manager,Master,Jaipur,Realme,Realme 8,Yes,,Performance,Medium,4,No,1
84,25,113441,Manager,PhD,Pune,Xiaomi,Xiaomi Redmi 9,No,,Performance,Medium,2,No,0
85,51,112050,Designer,PhD,Ahmedabad,Apple,iPhone 12,No,,Price,Medium,1,No,0
86,59,104859,Doctor,Master,Delhi,OnePlus,OnePlus 8,No,,Performance,High,2,No,0
87,46,59629,Engineer,Bachelor,Chennai,Xiaomi,Xiaomi Redmi 9,No,,Price;Design,Medium,3,No,0
88,47,115680,Manager,Bachelor,Ahmedabad,Apple,iPhone 11,Yes,1 month,Performance,Low,0,No,1
89,54,75028,Manager,Master,Delhi,OnePlus,OnePlus 8,No,,Camera,High,4,No,0
90,27,70042,Teacher,Bachelor,Lucknow,Samsung,Samsung S9,No,,Price;Performance,Low,0,No,0
91,59,114386,Teacher,Master,Mumbai,OnePlus,OnePlus 9,Yes,2 months,Price,Low,0,Yes,1
92,46,95160,Manager,Bachelor,Pune,Xiaomi,Xiaomi Mi 10,No,,Battery;Performance,Low,3,Yes,0
93,25,51754,Designer,Master,Pune,Realme,Realme 8,Yes,,Price,Medium,2,No,1
94,51,101719,Manager,Bachelor,Mumbai,OnePlus,OnePlus 7,Yes,2 months,Battery,Medium,2,No,1
95,48,77638,Teacher,Master,Chennai,Apple,iPhone 11,No,,Camera,Low,2,No,0
96,34,61966,Teacher,Bachelor,Bengaluru,OnePlus,OnePlus 8,Yes,3 months,Camera;Battery,High,3,Yes,0
97,21,80192,Student,Master,Mumbai,Apple,iPhone 11,Yes,,Camera,Medium,3,No,1
98,29,117046,Designer,PhD,Mumbai,OnePlus,OnePlus 9,No,,Price;Camera,High,2,Yes,0
99,56,98878,Sales,Bachelor,Hyderabad,Apple,iPhone 12,No,,Battery;Camera,High,3,No,0
100,33,58602,Student,Master,Bengaluru,Samsung,Samsung S9,No,,Price,High,2,Yes,0
101,42,112711,Student,Master,Ahmedabad,Xiaomi,Xiaomi Mi 10,Yes,1 month,Camera;Design,Low,4,Yes,1
102,20,45251,Doctor,PhD,Jaipur,Samsung,Samsung S10,No,,Price;Performance,Low,4,Yes,0
103,41,112503,Manager,Bachelor,Mumbai,Realme,Realme 8,No,,Battery;Design,High,0,Yes,0
104,39,99298,Lawyer,Bachelor,Mumbai,Xiaomi,Xiaomi Redmi 9,No,,Price,High,1,Yes,0
105,19,36368,Engineer,Bachelor,Mumbai,Realme,Realme 8,Yes,3 months,Camera;Price,High,1,Yes,1
106,28,87660,Manager,PhD,Kolkata,Samsung,Samsung S10,No,,Design,High,2,Yes,0
107,28,76163,Lawyer,Master,Lucknow,Apple,iPhone 12,No,,Price,High,3,Yes,0
108,30,31560,Designer,PhD,Lucknow,OnePlus,OnePlus 9,No,,Battery,Low,3,No,0
109,35,46082,Doctor,Bachelor,Ahmedabad,Samsung,Samsung S20,No,,Battery;Performance,Medium,0,No,0
110,47,89321,Designer,Bachelor,Hyderabad,Xiaomi,Xiaomi Mi 10,No,,Performance;Design,Medium,1,No,0
111,53,73585,Sales,Master,Hyderabad,Apple,iPhone 12,No,,Battery;Camera,Medium,4,No,0
112,52,49975,Student,Master,Delhi,Apple,iPhone 11,No,,Price,Medium,3,Yes,0
113,31,100135,Sales,Bachelor,Hyderabad,Apple,iPhone 12,Yes,3 months,Design,Low,0,No,1
114,40,82233,Manager,Master,Lucknow,Realme,Realme 8,No,,Performance,High,3,Yes,0
115,54,81886,Designer,Bachelor,Mumbai,Samsung,Samsung S20,No,,Performance;Design,Low,4,No,0
116,46,110896,Sales,PhD,Kolkata,Realme,Realme 7,Yes,1 month,Price,High,2,Yes,1
117,46,45398,Sales,PhD,Pune,Xiaomi,Xiaomi Mi 10,Yes,1 month,Camera,High,1,Yes,0
118,46,43669,Designer,PhD,Kolkata,Apple,iPhone XR,No,,Camera;Design,Low,1,No,0
119,57,80138,Lawyer,Bachelor,Hyderabad,Samsung,Samsung S9,Yes,,Performance,Medium,1,No,1
120,50,103384,Engineer,Bachelor,Jaipur,Realme,Realme 7,Yes,1 month,Camera;Price,Medium,1,No,0
121,36,47772,Manager,Bachelor,Ahmedabad,Samsung,Samsung S9,Yes,3 months,Battery,Medium,0,Yes,1
122,28,106743,Doctor,Master,Lucknow,Apple,iPhone 11,No,,Camera,High,4,Yes,0
123,29,51636,Teacher,Bachelor,Hyderabad,OnePlus,OnePlus 9,No,,Battery;Camera,High,2,Yes,0
124,32,86088,Student,PhD,Bengaluru,Xiaomi,Xiaomi Redmi 9,No,,Price,Low,3,No,0
125,46,102430,Student,PhD,Ahmedabad,Apple,iPhone 11,No,,Price,Medium,3,Yes,0
126,30,93646,Sales,PhD,Ahmedabad,Samsung,Samsung S10,Yes,,Camera;Design,Medium,4,No,0
127,39,53669,Designer,Master,Jaipur,Apple,iPhone XR,No,,Price;Design,High,0,Yes,0
128,54,85826,Student,PhD,Lucknow,Samsung,Samsung S10,No,,Performance;Design,Low,2,No,0
129,50,47014,Designer,Bachelor,Kolkata,Realme,Realme 7,Yes,2 months,Price,Medium,0,No,1
130,38,62117,Designer,PhD,Jaipur,Samsung,Samsung S20,No,,Camera;Design,Medium,4,Yes,0
131,57,103379,Manager,Bachelor,Ahmedabad,Samsung,Samsung S20,Yes,,Design,High,2,No,1
132,25,103794,Doctor,Bachelor,Lucknow,OnePlus,OnePlus 8,No,,Price,High,3,Yes,0
133,53,72828,Designer,PhD,Jaipur,Apple,iPhone 11,No,,Design,Medium,3,No,0
134,22,92711,Student,Bachelor,Jaipur,Realme,Realme 8,No,,Performance;Price,High,3,Yes,0
135,19,114328,Designer,Master,Jaipur,Samsung,Samsung S9,Yes,3 months,Price,Low,2,No,1
136,59,42329,Doctor,Master,Bengaluru,Apple,iPhone 11,No,,Design,Medium,1,Yes,0
137,52,102909,Student,Master,Lucknow,Samsung,Samsung S10,Yes,,Design;Price,Low,2,No,0
138,30,78244,Teacher,Bachelor,Pune,Xiaomi,Xiaomi Redmi 9,Yes,1 month,Design;Battery,High,4,Yes,1
139,46,107866,Doctor,Master,Delhi,OnePlus,OnePlus 9,Yes,,Price;Design,High,0,Yes,1
140,38,100984,Student,Master,Bengaluru,Xiaomi,Xiaomi Redmi 9,No,,Performance,Medium,3,No,0
141,55,87009,Sales,Bachelor,Hyderabad,Realme,Realme 7,Yes,3 months,Price;Performance,Low,1,Yes,1
142,55,103294,Designer,Master,Delhi,Apple,iPhone 12,No,,Price,High,1,Yes,0
143,49,30163,Engineer,PhD,Mumbai,Xiaomi,Xiaomi Redmi 9,No,,Camera;Price,High,3,No,0
144,52,44056,Designer,Bachelor,Kolkata,Apple,iPhone XR,No,,Price,Medium,0,No,0
145,46,72080,Teacher,Master,Lucknow,Xiaomi,Xiaomi Mi 10,No,,Camera,Medium,0,Yes,0
146,41,86492,Manager,Bachelor,Mumbai,Realme,Realme 8,Yes,1 month,Performance,Low,0,No,0
147,48,78355,Manager,PhD,Bengaluru,OnePlus,OnePlus 9,Yes,1 month,Camera;Performance,Medium,0,Yes,0
148,42,65144,Teacher,PhD,Pune,OnePlus,OnePlus 7,Yes,2 months,Price,Low,1,Yes,1
149,44,117527,Teacher,Master,Chennai,Xiaomi,Xiaomi Mi 10,Yes,3 months,Design;Performance,Medium,3,Yes,1
150,47,44291,Designer,PhD,Mumbai,Realme,Realme 7,No,,Battery;Price,Low,4,Yes,0
151,25,53911,Doctor,PhD,Delhi,Xiaomi,Xiaomi Mi 10,Yes,6 months,Performance,Low,4,No,1
152,48,76486,Lawyer,Bachelor,Kolkata,OnePlus,OnePlus 7,No,,Performance;Camera,Low,3,No,0
153,54,59806,Lawyer,Master,Lucknow,Samsung,Samsung S9,No,,Camera;Design,Low,1,No,0
154,56,109578,Manager,Master,Jaipur,Realme,Realme 7,No,,Camera;Price,High,0,No,0
155,37,66751,Manager,PhD,Delhi,OnePlus,OnePlus 7,Yes,3 months,Price;Camera,Low,4,Yes,1
156,27,94429,Student,Bachelor,Hyderabad,Samsung,Samsung S20,No,,Design,Low,3,No,0
157,41,95697,Doctor,Master,Bengaluru,Xiaomi,Xiaomi Mi 10,Yes,,Camera,High,3,No,1
158,53,35469,Sales,Bachelor,Delhi,Samsung,Samsung S10,Yes,1 month,Battery;Camera,High,4,Yes,1
159,37,60447,Sales,PhD,Kolkata,Xiaomi,Xiaomi Redmi 9,No,,Price;Battery,Medium,4,No,0
160,47,36397,Doctor,Bachelor,Kolkata,Samsung,Samsung S20,Yes,,Design;Camera,Medium,4,Yes,1
161,22,56201,Student,Master,Delhi,Apple,iPhone 12,No,,Price,Low,3,Yes,0
162,48,97155,Lawyer,Bachelor,Hyderabad,Realme,Realme 8,Yes,1 month,Battery;Camera,High,1,Yes,0
163,59,37896,Designer,Master,Jaipur,Realme,Realme 8,Yes,1 month,Design;Battery,Medium,2,Yes,0
164,35,37927,Manager,PhD,Delhi,Realme,Realme 8,No,,Price;Performance,Low,2,No,0
165,54,56928,Manager,PhD,Jaipur,Realme,Realme 8,No,,Price,Low,1,Yes,0
166,39,49446,Engineer,Bachelor,Ahmedabad,Realme,Realme 7,No,,Performance;Battery,Medium,1,Yes,0
167,23,99184,Teacher,Bachelor,Chennai,Apple,iPhone 11,No,,Performance;Camera,High,3,Yes,0
168,57,60651,Manager,Master,Bengaluru,OnePlus,OnePlus 9,No,,Price;Camera,High,3,No,0
169,57,48133,Student,Master,Jaipur,Apple,iPhone 11,No,,Price;Design,High,0,Yes,0
170,52,51253,Sales,PhD,Jaipur,OnePlus,OnePlus 8,Yes,3 months,Price,Low,0,Yes,0
171,57,109057,Teacher,Master,Pune,OnePlus,OnePlus 7,No,,Design;Camera,Medium,4,No,0
172,54,97843,Doctor,Master,Kolkata,OnePlus,OnePlus 7,No,,Battery;Performance,Low,4,Yes,0
173,45,31125,Teacher,PhD,Delhi,OnePlus,OnePlus 7,No,,Design,Low,4,No,0
174,45,79416,Student,Master,Pune,OnePlus,OnePlus 7,No,,Battery,Low,2,No,0
175,47,99615,Designer,Master,Mumbai,Realme,Realme 7,Yes,3 months,Performance,Medium,0,No,1
176,32,62602,Manager,Bachelor,Hyderabad,Realme,Realme 8,Yes,3 months,Camera;Battery,High,3,No,1
177,20,117960,Sales,Master,Chennai,OnePlus,OnePlus 7,Yes,,Battery;Price,High,3,No,1
178,50,116661,Manager,PhD,Delhi,OnePlus,OnePlus 9,Yes,3 months,Price;Design,Medium,2,Yes,1
179,41,91709,Teacher,Master,Delhi,Samsung,Samsung S20,No,,Performance,Low,0,Yes,0
180,36,82142,Student,Master,Ahmedabad,Realme,Realme 7,Yes,2 months,Price,Medium,2,Yes,0
181,58,101363,Manager,Master,Jaipur,Realme,Realme 8,Yes,,Price,Low,2,Yes,0
182,38,79812,Designer,Bachelor,Bengaluru,Xiaomi,Xiaomi Redmi 9,No,,Battery,Low,0,Yes,0
183,40,62174,Lawyer,Master,Jaipur,OnePlus,OnePlus 8,Yes,2 months,Performance,Medium,3,Yes,1
184,20,41093,Student,Master,Ahmedabad,Apple,iPhone 12,No,,Performance,Medium,1,No,0
185,36,115371,Teacher,Bachelor,Jaipur,Realme,Realme 7,No,,Design;Battery,Low,4,No,0
186,25,67418,Student,Bachelor,Lucknow,Realme,Realme 7,No,,Camera;Performance,Low,4,Yes,0
187,34,63623,Designer,PhD,Delhi,Samsung,Samsung S20,No,,Battery,Low,0,Yes,0
188,36,74363,Lawyer,Bachelor,Chennai,Realme,Realme 8,No,,Camera,High,0,No,0
189,40,82893,Designer,PhD,Delhi,Samsung,Samsung S20,No,,Price;Camera,Medium,1,Yes,0
190,45,108931,Engineer,Bachelor,Lucknow,OnePlus,OnePlus 9,No,,Performance;Price,High,4,Yes,0
191,35,100194,Doctor,Bachelor,Jaipur,Xiaomi,Xiaomi Redmi 9,No,,Price,High,1,Yes,0
192,29,32282,Engineer,PhD,Lucknow,Realme,Realme 7,No,,Performance,High,2,Yes,0
193,52,66268,Sales,Bachelor,Chennai,Apple,iPhone 11,No,,Battery;Camera,Medium,2,No,0
194,53,115920,Lawyer,PhD,Pune,Xiaomi,Xiaomi Redmi 9,No,,Performance,Medium,1,No,0
195,45,74014,Sales,PhD,Mumbai,Samsung,Samsung S10,No,,Price;Camera,Low,0,Yes,0
196,22,37069,Lawyer,PhD,Bengaluru,OnePlus,OnePlus 7,Yes,1 month,Camera;Battery,Medium,2,Yes,1
197,59,32169,Designer,Bachelor,Lucknow,Xiaomi,Xiaomi Redmi 9,No,,Design;Price,Low,2,No,0
198,34,89500,Lawyer,Master,Hyderabad,Realme,Realme 7,No,,Price,High,2,Yes,0
199,51,86882,Teacher,Bachelor,Chennai,Xiaomi,Xiaomi Redmi 9,No,,Design,Medium,4,Yes,0
200,51,56762,Student,PhD,Mumbai,OnePlus,OnePlus 8,No,,Design,Medium,3,No,0
201,54,105774,Lawyer,PhD,Chennai,Apple,iPhone 12,Yes,6 months,Performance;Camera,Low,0,No,1
202,29,43893,Engineer,PhD,Bengaluru,Apple,iPhone 11,No,,Design;Camera,Medium,2,No,0
203,34,60386,Designer,Master,Pune,Xiaomi,Xiaomi Redmi 9,No,,Battery,Low,0,Yes,0
204,34,32384,Engineer,Bachelor,Ahmedabad,OnePlus,OnePlus 9,No,,Performance,Low,1,Yes,0
205,46,35845,Manager,PhD,Kolkata,Apple,iPhone 11,No,,Price,High,0,No,0
206,52,107842,Teacher,Master,Mumbai,OnePlus,OnePlus 7,Yes,,Price,Medium,0,No,1
207,57,107064,Teacher,Master,Hyderabad,OnePlus,OnePlus 9,No,,Price;Battery,Low,4,Yes,0
208,55,52031,Teacher,Bachelor,Delhi,Apple,iPhone 11,Yes,6 months,Price;Performance,Low,3,No,1
209,40,100263,Doctor,PhD,Kolkata,Realme,Realme 7,No,,Price,Low,2,Yes,0
210,42,60750,Engineer,PhD,Delhi,Apple,iPhone 11,No,,Camera;Price,Medium,3,Yes,0
211,32,76101,Doctor,PhD,Hyderabad,Realme,Realme 7,No,,Camera;Battery,High,1,No,0
212,58,109563,Engineer,PhD,Jaipur,Samsung,Samsung S10,No,,Design;Performance,Low,4,No,0
213,46,71627,Manager,Bachelor,Mumbai,OnePlus,OnePlus 9,No,,Price;Camera,High,2,No,0
214,29,62441,Sales,Master,Mumbai,Xiaomi,Xiaomi Redmi 9,No,,Design,High,4,Yes,0
215,41,119963,Manager,Bachelor,Hyderabad,Samsung,Samsung S10,Yes,6 months,Price,Medium,3,No,1
216,35,35355,Engineer,PhD,Jaipur,Realme,Realme 8,No,,Design;Price,High,0,No,0
217,40,113692,Teacher,Bachelor,Ahmedabad,Xiaomi,Xiaomi Mi 10,No,,Price;Battery,High,0,No,0
218,52,103016,Engineer,Master,Kolkata,Apple,iPhone XR,Yes,,Performance;Price,High,0,Yes,1
219,42,81813,Engineer,Master,Hyderabad,Realme,Realme 7,No,,Price;Camera,Medium,3,Yes,0
220,34,107403,Teacher,PhD,Kolkata,Realme,Realme 8,No,,Price;Performance,Medium,4,Yes,0
221,24,81955,Engineer,Master,Chennai,Xiaomi,Xiaomi Redmi 9,No,,Performance,High,0,Yes,0
222,39,92522,Student,PhD,Jaipur,Realme,Realme 8,No,,Camera,High,0,Yes,0
223,49,104707,Teacher,PhD,Kolkata,Samsung,Samsung S9,Yes,2 months,Price;Performance,Medium,2,Yes,0
224,57,108915,Sales,PhD,Mumbai,Samsung,Samsung S20,No,,Battery;Design,High,1,No,0
225,22,35939,Engineer,PhD,Ahmedabad,Samsung,Samsung S10,Yes,,Price;Performance,Low,1,No,1
226,48,97293,Manager,Master,Kolkata,Realme,Realme 8,Yes,1 month,Battery,Medium,3,No,1
227,21,89234,Student,PhD,Lucknow,Samsung,Samsung S20,No,,Camera;Battery,Medium,1,Yes,0
228,46,33642,Designer,Master,Mumbai,OnePlus,OnePlus 9,No,,Performance;Design,Medium,3,Yes,0
229,18,86746,Sales,Bachelor,Hyderabad,Apple,iPhone 11,No,,Performance;Price,Medium,3,Yes,0
230,38,48601,Student,Master,Delhi,OnePlus,OnePlus 8,No,,Battery,Low,0,Yes,0
231,44,85841,Manager,Bachelor,Jaipur,Realme,Realme 7,Yes,3 months,Battery,Medium,0,No,1
232,37,112612,Manager,Master,Hyderabad,Samsung,Samsung S10,No,,Camera;Battery,High,0,Yes,0
233,18,117440,Doctor,Master,Ahmedabad,Realme,Realme 7,No,,Battery,Medium,1,No,0
234,24,119390,Sales,PhD,Lucknow,Realme,Realme 7,No,,Camera,Low,4,Yes,0
235,36,112534,Doctor,Master,Jaipur,OnePlus,OnePlus 8,No,,Design,High,4,No,0
236,46,49991,Lawyer,Master,Hyderabad,OnePlus,OnePlus 8,No,,Battery,Low,4,No,0
237,23,64148,Engineer,Master,Ahmedabad,Realme,Realme 7,No,,Camera;Performance,High,2,No,0
238,58,56564,Designer,PhD,Lucknow,Apple,iPhone 11,Yes,,Design,Medium,3,No,0
239,38,32708,Lawyer,Bachelor,Delhi,Apple,iPhone 11,Yes,2 months,Performance;Battery,Low,0,Yes,0
240,42,41156,Designer,Master,Mumbai,Samsung,Samsung S20,No,,Performance;Battery,Low,2,No,0
241,40,43689,Sales,Bachelor,Jaipur,Samsung,Samsung S10,No,,Performance,Medium,4,No,0
242,29,48287,Sales,Bachelor,Delhi,Samsung,Samsung S9,Yes,2 months,Design;Price,High,2,Yes,0
243,31,100305,Designer,PhD,Hyderabad,OnePlus,OnePlus 7,No,,Battery,Medium,2,Yes,0
244,57,97391,Doctor,PhD,Bengaluru,Xiaomi,Xiaomi Mi 10,Yes,,Camera;Battery,High,2,No,1
245,31,41889,Lawyer,PhD,Bengaluru,OnePlus,OnePlus 8,Yes,2 months,Price,Medium,2,Yes,0
246,22,40808,Student,Master,Chennai,OnePlus,OnePlus 7,Yes,3 months,Camera,Medium,3,No,0
247,24,111486,Sales,Master,Delhi,OnePlus,OnePlus 8,No,,Price;Camera,Medium,0,Yes,0
248,46,85312,Teacher,Master,Lucknow,Realme,Realme 8,No,,Performance,Medium,3,Yes,0
249,20,75833,Teacher,Bachelor,Bengaluru,Apple,iPhone 11,No,,Battery;Camera,Low,3,Yes,0
250,37,94619,Manager,PhD,Pune,Realme,Realme 8,No,,Performance;Design,Medium,0,No,0
251,19,59084,Student,Bachelor,Bengaluru,Apple,iPhone XR,Yes,,Battery;Design,High,3,No,1
